Part     Value           Package          Library                 Position (mil)        Orientation

C1       33p             C0603            rcl                     (375 725)             R180
C2       18p             C0603            rcl                     (725 1543.75)         R270
C3       18p             C0603            rcl                     (856.25 1643.75)      R0
C4       10u             C0805            rcl                     (762.5 450)           R0
C5       1u              C0603            rcl                     (906.25 987.5)        R0
C6       22u             C0805            rcl                     (175 812.5)           R180
C8       2n2             C0603            rcl                     (412.5 2150)          R90
C9       100n            C0603            rcl                     (206.25 1443.75)      R0
C10      1u              C0603            rcl                     (825 806.25)          R0
C16      100n            C0603            rcl                     (650 1693.75)         R0
C18      100n            C0603            rcl                     (237.5 1362.5)        R180
C22      100n            C0603            rcl                     (756.25 1312.5)       R90
C25      100n            C0603            rcl                     (331.25 2068.75)      R270
C26      1u              C0603            rcl                     (837.5 1312.5)        R270
C45      33n             C0603            rcl                     (237.5 1281.25)       R0
C46      100n            C0603            rcl                     (600 756.25)          R90
C65      100n            C0603            rcl                     (281.25 1525)         R180
C66      100n            C0603            rcl                     (493.75 2118.75)      R270
C82      33n             C0603            rcl                     (125 1437.5)          R270
C107     100n            C0603            rcl                     (93.75 1781.25)       R180
D1       LM4041DIM3-1.2  DBZ_R-PDSO-G3    texas                   (231.25 1175)         R180
D2       SS54            DO-214AC         diode                   (256.25 631.25)       R270
D4       SMBJ18A         SMBJ             diode                   (100 637.5)           R270
D5                       SOD123           diode                   (168.75 993.75)       R270
D6       B5819W          SOD-123_MINI-SMA diode                   (631.25 587.5)        R270
D15      BAT54S          SOT23            diode                   (100 1250)            R270
IC1      MEGA328         TQFP32-08        atmel                   (512.5 1350)          R180
IC3      CJ125_32        TQFP32-08        cj125                   (375 1775)            R0
IC5      MCP4725         SOT23-6          mcp4725                 (912.5 1100)          R0
JP1                      1X03             pinhead                 (75 2137.5)           R270
JP2                      2X06             pinhead                 (543.75 1012.5)       R0
JP3                      1X04             pinhead                 (900 2087.5)          R270
L1       MWSA0402S-3R3MT MWSA0402S-3R3MT  MWSA0402S-3R3MT         (787.5 656.25)        R180
LED1     blau            SML0805          led                     (756.25 1906.25)      R180
LED2     blau            SML0805          led                     (893.75 1762.5)       R0
LED3     blau            SML0805          led                     (893.75 1843.75)      R0
Q3       AO3400A         SOT23            transistor-small-signal (700 2137.5)          R0
R1       820R            R0603            rcl                     (775 2000)            R90
R2       10k             R0603            rcl                     (906.25 1212.5)       R180
R3       10k             R0603            rcl                     (918.75 1400)         R270
R4       1k              R0603            rcl                     (925 812.5)           R270
R5       100k            R0603            rcl                     (493.75 631.25)       R180
R11      10k             R0603            rcl                     (106.25 1700)         R0
R12      22k             R0603            rcl                     (393.75 612.5)        R270
R13      100k            R0603            rcl                     (312.5 818.75)        R270
R23      B72530V1140S262 CT/CN1210        varistor                (406.25 437.5)        R180
R53      1k              R0603            rcl                     (756.25 1762.5)       R180
R54      1k              R0603            rcl                     (756.25 1843.75)      R180
R57      24k             R0603            rcl                     (487.5 843.75)        R0
R58      24k             R0603            rcl                     (387.5 818.75)        R90
R68      470R            R0603            rcl                     (493.75 550)          R180
R71      10k             R0603            rcl                     (100 1343.75)         R180
R72      39k             R0603            rcl                     (62.5 1443.75)        R90
R73      39k             R0603            rcl                     (100 1150)            R0
R78      4k7             R0603            rcl                     (550 2018.75)         R180
R79      6k8             R0603            rcl                     (581.25 2150)         R270
R80      100k            R0603            rcl                     (675 2018.75)         R180
R102     300/1%          R0603            rcl                     (143.75 1606.25)      R180
R103     61R9            R0603            rcl                     (218.75 2100)         R180
R104     10k             R0603            rcl                     (93.75 1862.5)        R0
R105     31k6/1%         R0603            rcl                     (162.5 1525)          R0
R107     100k            R0603            rcl                     (431.25 2018.75)      R180
R108     100k            R0603            rcl                     (625 1912.5)          R270
R109     4k7             R0603            rcl                     (625 1793.75)         R270
R110     470k            R0603            rcl                     (200 2018.75)         R0
U$1      MP2451          SOT23-6          MP2359                  (500 731.25)          R180
U$4      X322516MLB4SI   X322516MLB4SI    X322516MLB4SI           (843.75 1543.75)      R0
